dataset,budget,model,rank,balanced_accuracy,total_time
blood-transfusion-service-center,1,HyperFast,1,0.695906432748538,1.9455466270446777
blood-transfusion-service-center,1,KNN,2,0.6600877192982456,0.024497509002685547
blood-transfusion-service-center,1,CatBoost,3,0.64546783625731,0.16604065895080566
blood-transfusion-service-center,1,XGBoost,4,0.6125730994152047,0.3703494071960449
blood-transfusion-service-center,1,LightGBM,5,0.5796783625730995,0.03706169128417969
blood-transfusion-service-center,1,LogReg,6,0.5423976608187134,9.862751960754395
blood-transfusion-service-center,3,HyperFast,1,0.7002923976608186,3.7015364170074463
blood-transfusion-service-center,3,XGBoost,2,0.6929824561403508,0.012835502624511719
blood-transfusion-service-center,3,CatBoost,3,0.6915204678362573,0.07361054420471191
blood-transfusion-service-center,3,LightGBM,4,0.6659356725146199,0.008285284042358398
blood-transfusion-service-center,3,KNN,5,0.6600877192982456,0.021584510803222656
blood-transfusion-service-center,3,LogReg,6,0.5423976608187134,6.631087779998779
blood-transfusion-service-center,10,HyperFast,1,0.695906432748538,7.871333837509155
blood-transfusion-service-center,10,CatBoost,2,0.668859649122807,0.15896821022033691
blood-transfusion-service-center,10,KNN,3,0.6600877192982456,0.018632888793945312
blood-transfusion-service-center,10,LightGBM,4,0.6557017543859649,9.819714546203613
blood-transfusion-service-center,10,LogReg,5,0.5423976608187134,6.402379751205444
blood-transfusion-service-center,10,XGBoost,6,0.5,13.7302405834198
blood-transfusion-service-center,30,HyperFast,1,0.695906432748538,13.765052795410156
blood-transfusion-service-center,30,KNN,2,0.6600877192982456,0.01835942268371582
blood-transfusion-service-center,30,LightGBM,3,0.6557017543859649,0.8254153728485107
blood-transfusion-service-center,30,CatBoost,4,0.6505847953216374,0.4788486957550049
blood-transfusion-service-center,30,LogReg,5,0.5423976608187134,0.1923689842224121
blood-transfusion-service-center,30,XGBoost,6,0.5,0.48870134353637695
blood-transfusion-service-center,60,HyperFast,1,0.7010233918128654,74.48406934738159
blood-transfusion-service-center,60,KNN,2,0.6600877192982456,0.019212961196899414
blood-transfusion-service-center,60,LightGBM,3,0.6557017543859649,0.8722155094146729
blood-transfusion-service-center,60,CatBoost,4,0.6505847953216374,1.0083601474761963
blood-transfusion-service-center,60,LogReg,5,0.5423976608187134,0.19283533096313477
blood-transfusion-service-center,60,XGBoost,6,0.5,1.1305465698242188
diabetes,1,HyperFast,1,0.7275925925925926,1.0073115825653076
diabetes,1,CatBoost,2,0.7212962962962963,0.058089256286621094
diabetes,1,XGBoost,3,0.6977777777777778,0.006563425064086914
diabetes,1,LightGBM,4,0.685,0.0045201778411865234
diabetes,1,LogReg,5,0.6692592592592592,0.17231369018554688
diabetes,1,KNN,6,0.6592592592592592,0.018960952758789062
diabetes,3,HyperFast,1,0.7318518518518519,2.3913211822509766
diabetes,3,LightGBM,2,0.7212962962962963,0.013758182525634766
diabetes,3,CatBoost,3,0.7212962962962963,0.11678242683410645
diabetes,3,XGBoost,4,0.7105555555555556,0.018429279327392578
diabetes,3,LogReg,5,0.6692592592592592,0.2022550106048584
diabetes,3,KNN,6,0.6592592592592592,0.01921987533569336
diabetes,10,XGBoost,1,0.749074074074074,0.5643742084503174
diabetes,10,HyperFast,2,0.7375925925925926,5.25709867477417
diabetes,10,LightGBM,3,0.727037037037037,0.8221254348754883
diabetes,10,CatBoost,4,0.717037037037037,0.22883868217468262
diabetes,10,LogReg,5,0.6692592592592592,0.20221948623657227
diabetes,10,KNN,6,0.6592592592592592,0.019152164459228516
diabetes,30,XGBoost,1,0.749074074074074,0.1515054702758789
diabetes,30,HyperFast,2,0.7468518518518519,11.623377084732056
diabetes,30,LightGBM,3,0.727037037037037,0.10129499435424805
diabetes,30,CatBoost,4,0.692037037037037,0.658271312713623
diabetes,30,LogReg,5,0.6692592592592592,0.20523524284362793
diabetes,30,KNN,6,0.6592592592592592,0.018743038177490234
diabetes,60,XGBoost,1,0.749074074074074,0.15071821212768555
diabetes,60,HyperFast,2,0.7375925925925926,56.792200803756714
diabetes,60,LightGBM,3,0.727037037037037,0.11167240142822266
diabetes,60,CatBoost,4,0.7248148148148148,1.1637277603149414
diabetes,60,LogReg,5,0.6692592592592592,0.18238520622253418
diabetes,60,KNN,6,0.6592592592592592,0.018821239471435547
ilpd,1,HyperFast,1,0.6743444365698086,0.9032516479492188
ilpd,1,KNN,2,0.5646704464918497,0.01828908920288086
ilpd,1,XGBoost,3,0.5634301913536499,0.006642580032348633
ilpd,1,LogReg,4,0.5400425230333097,0.19308233261108398
ilpd,1,LightGBM,5,0.5166548547129695,0.0038585662841796875
ilpd,1,CatBoost,6,0.515946137491141,0.060124874114990234
ilpd,3,HyperFast,1,0.6094968107725018,2.076890707015991
ilpd,3,KNN,2,0.5646704464918497,0.01854395866394043
ilpd,3,LightGBM,3,0.5526222537207655,0.011481285095214844
ilpd,3,LogReg,4,0.5400425230333097,0.01150202751159668
ilpd,3,XGBoost,5,0.5031892274982283,0.01649928092956543
ilpd,3,CatBoost,6,0.4865343727852587,0.09500455856323242
ilpd,10,HyperFast,1,0.6743444365698086,4.424272060394287
ilpd,10,KNN,2,0.5646704464918497,0.01905655860900879
ilpd,10,LogReg,3,0.5400425230333097,0.19276070594787598
ilpd,10,XGBoost,4,0.52462792345854,0.10073137283325195
ilpd,10,LightGBM,5,0.517363571934798,0.06515765190124512
ilpd,10,CatBoost,6,0.5132884479092842,0.18951082229614258
ilpd,30,HyperFast,1,0.6743444365698086,8.819928169250488
ilpd,30,KNN,2,0.5646704464918497,0.01813030242919922
ilpd,30,LogReg,3,0.5400425230333097,0.18212628364562988
ilpd,30,CatBoost,4,0.533309709425939,0.5990772247314453
ilpd,30,XGBoost,5,0.52462792345854,0.11117124557495117
ilpd,30,LightGBM,6,0.517363571934798,0.06533241271972656
ilpd,60,CatBoost,1,0.5653791637136782,1.1268894672393799
ilpd,60,KNN,2,0.5646704464918497,0.01825094223022461
ilpd,60,HyperFast,3,0.5499645641389086,45.72075963020325
ilpd,60,LogReg,4,0.5400425230333097,0.19204115867614746
ilpd,60,XGBoost,5,0.52462792345854,0.1012885570526123
ilpd,60,LightGBM,6,0.517363571934798,0.0640406608581543
kc2,1,HyperFast,1,0.6790799561883899,0.9056806564331055
kc2,1,LogReg,2,0.651697699890471,0.1930408477783203
kc2,1,XGBoost,3,0.622946330777656,0.010209798812866211
kc2,1,CatBoost,4,0.6169222343921139,0.079071044921875
kc2,1,KNN,5,0.6048740416210295,0.699758768081665
kc2,1,LightGBM,6,0.5848849945235487,0.007130861282348633
kc2,3,HyperFast,1,0.6790799561883899,2.2441697120666504
kc2,3,LogReg,2,0.651697699890471,0.18275737762451172
kc2,3,LightGBM,3,0.651697699890471,0.013878345489501953
kc2,3,CatBoost,4,0.6456736035049289,0.10970449447631836
kc2,3,KNN,5,0.6048740416210295,0.0033452510833740234
kc2,3,XGBoost,6,0.588170865279299,0.02130413055419922
kc2,10,HyperFast,1,0.6790799561883899,4.266858339309692
kc2,10,LogReg,2,0.651697699890471,0.011434316635131836
kc2,10,XGBoost,3,0.6456736035049289,0.14038443565368652
kc2,10,CatBoost,4,0.6169222343921139,0.3387413024902344
kc2,10,KNN,5,0.6048740416210295,0.003932952880859375
kc2,10,LightGBM,6,0.5501095290251916,0.09781622886657715
kc2,30,HyperFast,1,0.6563526834611172,9.35886812210083
kc2,30,LogReg,2,0.651697699890471,0.011774539947509766
kc2,30,XGBoost,3,0.6456736035049289,0.14274287223815918
kc2,30,CatBoost,4,0.622946330777656,0.6136391162872314
kc2,30,KNN,5,0.6048740416210295,0.004796028137207031
kc2,30,LightGBM,6,0.5501095290251916,0.09396123886108398
kc2,60,HyperFast,1,0.6623767798466593,53.149574518203735
kc2,60,LogReg,2,0.651697699890471,0.011232137680053711
kc2,60,XGBoost,3,0.6456736035049289,0.13162755966186523
kc2,60,CatBoost,4,0.622946330777656,1.3098797798156738
kc2,60,KNN,5,0.6048740416210295,0.0031120777130126953
kc2,60,LightGBM,6,0.5501095290251916,0.08608627319335938
